nCount_RNA	limbtype	Pitx1
10523	HLWT	5
14538	HLWT	1
11233	HLWT	2
17828	HLWT	1
14685	HLWT	12
28099	HLWT	10
9143	HLWT	1
19161	HLWT	0
8117	HLWT	0
5069	HLWT	0
7779	HLWT	3
24503	HLWT	16
6847	HLWT	0
14424	HLWT	3
4879	HLWT	1
37177	HLWT	19
15901	HLWT	0
8083	HLWT	3
11866	HLWT	11
19492	HLWT	0
27179	HLWT	0
19031	HLWT	1
38054	HLWT	0
4492	HLWT	1
16580	HLWT	13
7518	HLWT	1
14753	HLWT	1
13928	HLWT	4
10378	HLWT	0
3933	HLWT	4
15010	HLWT	2
12985	HLWT	0
17739	HLWT	0
6899	HLWT	2
10725	HLWT	0
8703	HLWT	0
5091	HLWT	2
8862	HLWT	1
12383	HLWT	3
24040	HLWT	4
10664	HLWT	10
11396	HLWT	4
14848	HLWT	12
19152	HLWT	33
11374	HLWT	4
10731	HLWT	1
18352	HLWT	21
14135	HLWT	1
12905	HLWT	6
25225	HLWT	10
19909	HLWT	0
32667	HLWT	18
12194	HLWT	3
20951	HLWT	0
3713	HLWT	2
17486	HLWT	3
15878	HLWT	11
13068	HLWT	0
11000	HLWT	1
12988	HLWT	7
9371	HLWT	0
10813	HLWT	17
15814	HLWT	2
10063	HLWT	18
10079	HLWT	4
13566	HLWT	15
25970	HLWT	4
6108	HLWT	8
31864	HLWT	0
15049	HLWT	6
10672	HLWT	4
10578	HLWT	0
11397	HLWT	0
10672	HLWT	12
9741	HLWT	1
11506	HLWT	0
1211	HLWT	1
24402	HLWT	4
16522	HLWT	0
16040	HLWT	2
15673	HLWT	1
14741	HLWT	9
6411	HLWT	0
6792	HLWT	0
18143	HLWT	3
17816	HLWT	0
7767	HLWT	0
22761	HLWT	15
11150	HLWT	0
12651	HLWT	0
10675	HLWT	1
14084	HLWT	13
10832	HLWT	7
7710	HLWT	1
20691	HLWT	2
18702	HLWT	4
16019	HLWT	9
32892	HLWT	0
9428	HLWT	1
8721	HLWT	10
9719	HLWT	4
9274	HLWT	1
10666	HLWT	2
29080	HLWT	15
7482	HLWT	0
17009	HLWT	3
18226	HLWT	6
16315	HLWT	2
20873	HLWT	6
9653	HLWT	5
14945	HLWT	1
12187	HLWT	0
20693	HLWT	1
20273	HLWT	4
10836	HLWT	2
10845	HLWT	1
20132	HLWT	13
28014	HLWT	0
9205	HLWT	1
33615	HLWT	0
13099	HLWT	1
15711	HLWT	3
13761	HLWT	5
18474	HLWT	0
22734	HLWT	28
14221	HLWT	0
9915	HLWT	0
7281	HLWT	0
13361	HLWT	0
22547	HLWT	0
12015	HLWT	12
8407	HLWT	11
14450	HLWT	4
4155	HLWT	6
16321	HLWT	0
35053	HLWT	3
9590	HLWT	3
13529	HLWT	6
13914	HLWT	10
11457	HLWT	0
13890	HLWT	5
8121	HLWT	4
10242	HLWT	11
7672	HLWT	3
30762	HLWT	3
10915	HLWT	4
6637	HLWT	3
5831	HLWT	2
23488	HLWT	8
10561	HLWT	3
8683	HLWT	7
9858	HLWT	2
13363	HLWT	3
14589	HLWT	0
12156	HLWT	0
9025	HLWT	2
7620	HLWT	7
9585	HLWT	2
33362	HLWT	2
13317	HLWT	3
18540	HLWT	4
14237	HLWT	5
12575	HLWT	15
10799	HLWT	4
5808	HLWT	1
9276	HLWT	5
19925	HLWT	5
13430	HLWT	11
10481	HLWT	2
15248	HLWT	7
18582	HLWT	7
13482	HLWT	0
10536	HLWT	11
10843	HLWT	0
18397	HLWT	2
34238	HLWT	0
20889	HLWT	1
23969	HLWT	28
11463	HLWT	3
11058	HLWT	1
9946	HLWT	0
17324	HLWT	0
14619	HLWT	1
8858	HLWT	4
2275	HLWT	0
8247	HLWT	6
21741	HLWT	10
14266	HLWT	3
13331	HLWT	0
11921	HLWT	1
19266	HLWT	2
14624	HLWT	11
15768	HLWT	9
15124	HLWT	4
10035	HLWT	2
38178	HLWT	0
16721	HLWT	3
13031	HLWT	2
22081	HLWT	0
10493	HLWT	10
14237	HLWT	2
9904	HLWT	5
17992	HLWT	4
4686	HLWT	0
11561	HLWT	3
15979	HLWT	0
2917	HLWT	0
24368	HLWT	1
8272	HLWT	2
9709	HLWT	7
12220	HLWT	9
10792	HLWT	0
12844	HLWT	4
6074	HLWT	0
8505	HLWT	2
16249	HLWT	0
29280	HLWT	0
7460	HLWT	2
10470	HLWT	10
14940	HLWT	0
17524	HLWT	9
7963	HLWT	3
8550	HLWT	5
9725	HLWT	13
18663	HLWT	2
10260	HLWT	4
12179	HLWT	2
21119	HLWT	5
31090	HLWT	4
6771	HLWT	3
16879	HLWT	10
8919	HLWT	3
10353	HLWT	1
18105	HLWT	0
9649	HLWT	0
12535	HLWT	3
27308	HLWT	17
23879	HLWT	6
19605	HLWT	4
7655	HLWT	1
11227	HLWT	0
9865	HLWT	2
10397	HLWT	2
15314	HLWT	19
9421	HLWT	3
2513	HLWT	0
10286	HLWT	0
10487	HLWT	2
10794	HLWT	0
11281	HLWT	0
3258	HLWT	0
6305	HLWT	0
19695	HLWT	15
15861	HLWT	3
18116	HLWT	2
13669	HLWT	0
28374	HLWT	20
9993	HLWT	0
20023	HLWT	15
8850	HLWT	3
12463	HLWT	1
16100	HLWT	6
26270	HLWT	24
21527	HLWT	2
13049	HLWT	1
8765	HLWT	1
25942	HLWT	0
11260	HLWT	0
11579	HLWT	8
12645	HLWT	0
12713	HLWT	1
9789	HLWT	3
12615	HLWT	0
9583	HLWT	0
19062	HLWT	0
24507	HLWT	1
12712	HLWT	0
18509	HLWT	2
13264	HLWT	0
25239	HLWT	3
20089	HLWT	1
12234	HLWT	1
16809	HLWT	0
5429	HLWT	2
11422	HLWT	2
7454	HLWT	1
15941	HLWT	1
13660	HLWT	4
12653	HLWT	3
19693	HLWT	1
24511	HLWT	10
15822	HLWT	3
15263	HLWT	0
3171	HLWT	1
12830	HLWT	4
9448	HLWT	2
6326	HLWT	2
12567	HLWT	4
10101	HLWT	2
21247	HLWT	8
17352	HLWT	0
11158	HLWT	2
21251	HLWT	6
12447	HLWT	13
18949	HLWT	1
21371	HLWT	5
15884	HLWT	4
8151	HLWT	3
7785	HLWT	1
16176	HLWT	7
13639	HLWT	8
31088	HLWT	28
20461	HLWT	40
13256	HLWT	3
7990	HLWT	1
26907	HLWT	5
14290	HLWT	10
14168	HLWT	0
31412	HLWT	9
4961	HLWT	0
4158	HLWT	0
10919	HLWT	2
15929	HLWT	0
8181	HLWT	4
19994	HLWT	0
17247	HLWT	2
10751	HLWT	11
8100	HLWT	0
21199	HLWT	0
10381	HLWT	1
8216	HLWT	1
11886	HLWT	9
12037	HLWT	1
7555	HLWT	1
14740	HLWT	8
19106	HLWT	1
9922	HLWT	8
13183	HLWT	1
18144	HLWT	2
40689	HLWT	3
12348	HLWT	0
29889	HLWT	12
9577	HLWT	0
10138	HLWT	8
18750	HLWT	0
23311	HLWT	8
10935	HLWT	8
6770	HLWT	5
9853	HLWT	1
17442	HLWT	8
8720	HLWT	3
9284	HLWT	2
9974	HLWT	0
10621	HLWT	0
18414	HLWT	0
10538	HLWT	5
14532	HLWT	4
13732	HLWT	1
9660	HLWT	1
7635	HLWT	6
13673	HLWT	0
15626	HLWT	1
10475	HLWT	1
11340	HLWT	2
10791	HLWT	0
22447	HLWT	0
4645	HLWT	0
7285	HLWT	3
12400	HLWT	0
19154	HLWT	0
5443	HLWT	0
23692	HLWT	4
5355	HLWT	6
13417	HLWT	1
8432	HLWT	2
13216	HLWT	9
23422	HLWT	1
5377	HLWT	0
13674	HLWT	0
22476	HLWT	5
8032	HLWT	4
17768	HLWT	4
5082	HLWT	7
13653	HLWT	0
13536	HLWT	6
11143	HLWT	0
16635	HLWT	3
16605	HLWT	15
14543	HLWT	5
8824	HLWT	1
9799	HLWT	0
13486	HLWT	1
10425	HLWT	1
5461	HLWT	0
29873	HLWT	5
15319	HLWT	5
17739	HLWT	2
9497	HLWT	4
28327	HLWT	10
14287	HLWT	0
20373	HLWT	11
13390	HLWT	0
44612	HLWT	0
12982	HLWT	0
11422	HLWT	0
12323	HLWT	7
12896	HLWT	1
18406	HLWT	4
8875	HLWT	0
36593	HLWT	6
5552	HLWT	2
12249	HLWT	2
21200	HLWT	10
8384	HLWT	0
21194	HLWT	0
10422	HLWT	3
5617	HLWT	1
22785	HLWT	8
5451	HLWT	5
8441	HLWT	3
26754	HLWT	17
9341	HLWT	0
14757	HLWT	12
31892	HLWT	3
19088	HLWT	1
9009	HLWT	4
44892	HLWT	0
13305	HLWT	10
10447	HLWT	2
17306	HLWT	2
37784	HLWT	0
13424	HLWT	5
14085	HLWT	2
8968	HLWT	0
14395	HLWT	3
5535	HLWT	0
12048	HLWT	2
12689	HLWT	8
11083	HLWT	0
6592	HLWT	1
26825	HLWT	0
10371	HLWT	8
10725	HLWT	2
9019	HLWT	0
17173	HLWT	0
16790	HLWT	0
12205	HLWT	3
31672	HLWT	16
13264	HLWT	6
10767	HLWT	6
10131	HLWT	9
24790	HLWT	0
28433	HLWT	0
28986	HLWT	10
13880	HLWT	3
7427	HLWT	0
10283	HLWT	2
20205	HLWT	9
8174	HLWT	12
4981	HLWT	1
12115	HLWT	4
6947	HLWT	3
8942	HLWT	1
22201	HLWT	10
7861	HLWT	1
12857	HLWT	1
14589	HLWT	6
21590	HLWT	24
14623	HLWT	0
7075	HLWT	0
9187	HLWT	1
8733	HLWT	3
17945	HLWT	2
14341	HLWT	0
9788	HLWT	0
10940	HLWT	1
13546	HLWT	0
8368	HLWT	4
24564	HLWT	5
23146	HLWT	0
14302	HLWT	5
22922	HLWT	8
2966	HLWT	0
30503	HLWT	3
12224	HLWT	0
17880	HLWT	21
20996	HLWT	2
11780	HLWT	1
18496	HLWT	1
13603	HLWT	0
18391	HLWT	2
21803	HLWT	4
8203	HLWT	4
11618	HLWT	2
8105	HLWT	1
25277	HLWT	4
5086	HLWT	3
11927	HLWT	1
14444	HLWT	6
15618	HLWT	0
6829	HLWT	2
8931	HLWT	6
14550	HLWT	4
7142	HLWT	5
8802	HLWT	14
37692	HLWT	16
24069	HLWT	0
16606	HLWT	0
6468	HLWT	8
13102	HLWT	13
8137	HLWT	2
6403	HLWT	5
23421	HLWT	6
16268	HLWT	8
15189	HLWT	1
21629	HLWT	2
9122	HLWT	8
13182	HLWT	2
15173	HLWT	3
9963	HLWT	1
11874	HLWT	17
18167	HLWT	3
2132	HLWT	0
37196	HLWT	0
11495	HLWT	0
